question,answer
Which varieties of soybean can be harvested mechanically?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
What are the best soybeans for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybeans are developed for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which types of soybeans are fit for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
What soybean varieties are suitable for harvesting with machines?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybean varieties are designed for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybeans are suitable for being harvested by machines?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
What are some soybean varieties that can be mechanically harvested?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybean breeds are appropriate for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Can you name soybeans that are good for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybeans are most compatible with mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
What are the top soybean varieties for machine harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybeans have been developed for efficient mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which varieties are optimal for mechanical soybean harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
What types of soybeans are best for harvesting with machinery?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybeans are recommended for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybean cultivars are suitable for mechanical harvesting?,"Soybean varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed for mechanical harvesting, featuring a high insertion point of the lowest pod."
Which soybean varieties have pods that grow higher off the ground?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
What soybean types grow with the lowest pod positioned higher from the soil?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which varieties of soybeans have their lowest pods situated higher above the ground?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean plants develop pods higher up from the land?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
What are the soybean varieties with higher ground clearance for the lowest pod?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean cultivars have a higher lowest pod placement from the ground?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean types feature pods that grow higher above the soil level?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
What soybean varieties grow with the lowest pod positioned well above the earth?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which varieties have soybeans with their lowest pods growing at a greater height from the ground?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean plants have the lowest pods growing higher from the soil surface?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean varieties are known for having a high ground clearance of the lowest pod?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
What soybean types have the lowest pods growing at a higher elevation from the ground?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean breeds have their lowest pods positioned at a higher point from the land?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean varieties grow with the lowest pods situated further from the soil?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
What are the soybeans that have their lowest pods growing higher above ground level?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which varieties of soybeans have the lowest pods growing at a higher distance from the ground?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean plants feature pods that grow at a higher level from the soil?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
What soybean varieties have the lowest pods growing well above the ground?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean types have a higher position of the lowest pod from the land?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
Which soybean cultivars are developed with pods growing higher off the soil?,"Varieties like MACS 58, NRC 37, Type 49, Durga, and Punjab 1 have been developed with a high insertion point of the lowest pod, making them suitable for mechanical harvesting."
What soybean varieties are resistant to rust?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean types are rust tolerant?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Can you list soybean varieties that are rust tolerant?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean varieties are best for rust resistance?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
What types of soybeans are known for rust tolerance?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean cultivars are rust resistant?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean varieties are effective against rust?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
What are the best soybean varieties for rust resistance?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean varieties have high rust tolerance?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Can you name some rust-tolerant soybean varieties?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
What soybean varieties offer the best protection against rust?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean strains are known for rust resistance?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean varieties are developed to be rust resistant?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
What are the most rust-tolerant soybean varieties?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean breeds are effective against rust?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean types are best for managing rust?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
What soybean varieties have been bred for rust tolerance?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean varieties are recognized for their rust tolerance?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Can you provide examples of soybean varieties that are rust tolerant?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
Which soybean varieties show the best resistance to rust?,"Soybean varieties like PS 1024, PS 1029, Indira Soya 9, MAUS 61, and MAUS 61-2 are recommended for their rust tolerance."
How many soybean varieties have been released for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
What is the number of soybean varieties released for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
How many soybean varieties are available for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
How many different soybean varieties have been released?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
What is the total number of soybean varieties released for farming?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
How many soybean cultivars are there for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
Can you tell me how many soybean varieties have been released for farming?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
How many soybean varieties are officially available for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
What is the count of soybean varieties released for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
How many soybean varieties have been made available for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
How many soybean varieties have been introduced for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
What is the current number of soybean varieties released for cultivation?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
How many soybean varieties are there for agricultural use?,"A total of 44 soybean varieties have been released for cultivation. The list of these varieties includes JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, Birsa Safed Soya-2, JS 20-98, MAUS-612, NRC 127, CG Soya 1, Basara, KDS 758, Raj Soya -18 (Pragya), RVS 2002-4, PS-1480 (Pant Soya-21), PS-1523 (Pant Soya-23), PS-1477 (Pant Soya-24), JS 20-69, MACS 1281, JS 20-34, NRC-86, KDS 344 (Phule Agrani), SL 958, JS 20-29, RVS 2001-4, DSb - 21, MAUS - 162, MACS 1188, PS 1368, MAUS 158, VL Soya-65, PS-1225, JS 97-52, JS 95-60, RKS 18, RAUS 5, Phule Kalyani, JS 93-05, MAUS-71, NRC-7, Hara Soya, JS 335, and Birsa Soybean -1. The earliest variety in this list is Birsa Soybean -1, released in 1983, and the most recent varieties are JS 20-116, JS 20-94, KDS 726, AMS 1001, Him Soya, VL Soya 89, and Birsa Safed Soya-2, all of which were released in 2019."
